Initializing...
It is recommended that this program runs with GNU screen!
create db.txt file based on date
all friends of top12k twitter accounts and their profile are stored in the db, now we start to find their most followed friends
query to find number of followers of friends and to store the output in friends file.
         269257 function calls (260423 primitive calls) in 0.892 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
     1422    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      324    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.001    0.001 adapters.py:3(<module>)
      308    0.000    0.000    0.001    0.000 enum.py:557(__new__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        2    0.000    0.000    0.001    0.000 errors.py:2(<module>)
       80    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 escprober.py:28(<module>)
     3036    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1924    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1243(CookieJar)
     3036    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
     2058    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
        2    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 topology_description.py:15(<module>)
      142    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 database.py:15(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:29(<module>)
       22    0.000    0.000    0.000    0.000 enum.py:822(__or__)
       43    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 request.py:941(AbstractBasicAuthHandler)
      273    0.000    0.000    0.000    0.000 function_base.py:446(_add_docstring)
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
        3    0.000    0.000    0.000    0.000 response.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:29(<module>)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 codec_options.py:15(<module>)
      108    0.000    0.000    0.000    0.000 re.py:188(match)
       26    0.000    0.000    0.000    0.000 core.py:6660(__init__)
      527    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2142(_IPv6Constants)
      172    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
       26    0.000    0.000    0.000    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
     1000    0.000    0.000    0.000    0.000 py3compat.py:35(b)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2068(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 protocol.py:29(<module>)
        1    0.000    0.000    0.000    0.000 aggregation.py:15(<module>)
        2    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      133    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
     1874    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 oauth1_session.py:1(<module>)
        1    0.000    0.000    0.000    0.000 max_staleness_selectors.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1477(_IPv4Constants)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 universaldetector.py:51(UniversalDetector)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
        1    0.000    0.000    0.000    0.000 binary.py:15(<module>)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
      514    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
  144/116    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 utf8prober.py:28(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:785(_missing_)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1412(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      724    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
